timestamp,ts,run_id,system,scenario,component,container,cpu_percent,memory_mb
2026-05-11T16:09:05+0000,1778515745.6861422,4,PostgreSQL+Citus,citus_uniform,worker,exp1_citus_worker_2,55.39,137.9
2026-05-11T16:09:09+0000,1778515749.8012173,4,PostgreSQL+Citus,citus_hot70,coordinator,exp1_citus_coordinator,198.76,282.3
2026-05-11T16:09:09+0000,1778515749.8012214,4,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_0,33.52,232.6
2026-05-11T16:09:09+0000,1778515749.8012235,4,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_1,47.09,165.9
2026-05-11T16:09:09+0000,1778515749.801225,4,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_2,45.36,169.1
2026-05-11T16:09:13+0000,1778515753.8068287,4,PostgreSQL+Citus,citus_hot90,coordinator,exp1_citus_coordinator,30.86,284.2
2026-05-11T16:09:13+0000,1778515753.8068352,4,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_0,141.82,234.6
2026-05-11T16:09:13+0000,1778515753.8068385,4,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_1,3.97,84.49
2026-05-11T16:09:13+0000,1778515753.8068404,4,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_2,13.38,98.77
2026-05-11T16:09:19+0000,1778515759.1532938,5,PostgreSQL+Citus,citus_uniform,coordinator,exp1_citus_coordinator,188.23,297.1
2026-05-11T16:09:19+0000,1778515759.1533015,5,PostgreSQL+Citus,citus_uniform,worker,exp1_citus_worker_0,77.58,225.9
2026-05-11T16:09:19+0000,1778515759.153305,5,PostgreSQL+Citus,citus_uniform,worker,exp1_citus_worker_1,69.55,230.4
2026-05-11T16:09:19+0000,1778515759.153308,5,PostgreSQL+Citus,citus_uniform,worker,exp1_citus_worker_2,64.34,146.1
2026-05-11T16:09:23+0000,1778515763.2940178,5,PostgreSQL+Citus,citus_hot70,coordinator,exp1_citus_coordinator,108.3,290.2
2026-05-11T16:09:23+0000,1778515763.2940233,5,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_0,114.9,213.4
2026-05-11T16:09:23+0000,1778515763.2940257,5,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_1,55.19,165.8
2026-05-11T16:09:23+0000,1778515763.294027,5,PostgreSQL+Citus,citus_hot70,worker,exp1_citus_worker_2,49.05,165.5
2026-05-11T16:09:27+0000,1778515767.3380215,5,PostgreSQL+Citus,citus_hot90,coordinator,exp1_citus_coordinator,39.92,287.5
2026-05-11T16:09:27+0000,1778515767.3380277,5,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_0,134.57,234.9
2026-05-11T16:09:27+0000,1778515767.3380306,5,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_1,17.19,90.07
2026-05-11T16:09:27+0000,1778515767.3380327,5,PostgreSQL+Citus,citus_hot90,worker,exp1_citus_worker_2,20.93,112.2
