timestamp,ts,scenario,defense,shard,container,cpu_percent,memory_mb,connections,active_transactions,run_id
2026-05-13T13:57:35+0000,1778680655.5768957,hot70,deterministic,1,exp1_pg_shard_1,20.72,44.0,2,2,2
2026-05-13T13:57:35+0000,1778680655.5848343,hot70,deterministic,2,exp1_pg_shard_2,19.19,43.93,4,3,2
2026-05-13T13:57:38+0000,1778680658.6679976,hot70,deterministic,0,exp1_pg_shard_0,0.03,43.9,2,1,2
2026-05-13T13:57:38+0000,1778680658.67652,hot70,deterministic,1,exp1_pg_shard_1,3.13,43.94,2,1,2
2026-05-13T13:57:38+0000,1778680658.6850176,hot70,deterministic,2,exp1_pg_shard_2,0.05,43.8,2,1,2
2026-05-13T13:57:40+0000,1778680660.7140248,hot70,obfuscated,0,exp1_pg_shard_0,101.54,44.13,2,1,2
2026-05-13T13:57:40+0000,1778680660.7244143,hot70,obfuscated,1,exp1_pg_shard_1,131.37,74.32,2,1,2
2026-05-13T13:57:40+0000,1778680660.7337081,hot70,obfuscated,2,exp1_pg_shard_2,79.4,44.12,2,1,2
2026-05-13T13:57:42+0000,1778680662.7470667,hot70,obfuscated_control,0,exp1_pg_shard_0,142.93,59.5,2,1,2
2026-05-13T13:57:42+0000,1778680662.7553911,hot70,obfuscated_control,1,exp1_pg_shard_1,133.99,73.49,2,1,2
2026-05-13T13:57:42+0000,1778680662.763696,hot70,obfuscated_control,2,exp1_pg_shard_2,91.44,44.0,2,1,2
2026-05-13T13:57:44+0000,1778680664.783219,hot90,deterministic,0,exp1_pg_shard_0,135.79,81.23,24,4,2
2026-05-13T13:57:44+0000,1778680664.7908113,hot90,deterministic,1,exp1_pg_shard_1,5.25,44.02,2,1,2
2026-05-13T13:57:44+0000,1778680664.7988768,hot90,deterministic,2,exp1_pg_shard_2,3.31,43.99,2,1,2
2026-05-13T13:57:47+0000,1778680667.8760223,hot90,deterministic,0,exp1_pg_shard_0,0.05,44.17,2,1,2
2026-05-13T13:57:47+0000,1778680667.883689,hot90,deterministic,1,exp1_pg_shard_1,0.05,44.41,2,1,2
2026-05-13T13:57:47+0000,1778680667.8912892,hot90,deterministic,2,exp1_pg_shard_2,9.09,43.98,2,1,2
2026-05-13T13:57:49+0000,1778680669.926091,hot90,obfuscated,0,exp1_pg_shard_0,136.43,77.13,2,1,2
2026-05-13T13:57:49+0000,1778680669.9360487,hot90,obfuscated,1,exp1_pg_shard_1,90.81,44.14,2,1,2
2026-05-13T13:57:49+0000,1778680669.9454165,hot90,obfuscated,2,exp1_pg_shard_2,63.85,44.18,2,1,2
2026-05-13T13:57:51+0000,1778680671.9755325,hot90,obfuscated_control,0,exp1_pg_shard_0,140.66,50.02,2,1,2
2026-05-13T13:57:51+0000,1778680671.985289,hot90,obfuscated_control,1,exp1_pg_shard_1,92.1,44.17,2,1,2
2026-05-13T13:57:51+0000,1778680671.9945405,hot90,obfuscated_control,2,exp1_pg_shard_2,77.87,44.2,2,1,2
2026-05-13T13:57:54+0000,1778680674.010179,uniform,deterministic,0,exp1_pg_shard_0,136.72,45.04,2,1,3
2026-05-13T13:57:54+0000,1778680674.0196967,uniform,deterministic,1,exp1_pg_shard_1,87.17,44.12,2,1,3
2026-05-13T13:57:54+0000,1778680674.0290694,uniform,deterministic,2,exp1_pg_shard_2,122.29,44.53,2,1,3
2026-05-13T13:57:56+0000,1778680676.0490894,uniform,obfuscated,0,exp1_pg_shard_0,135.56,86.16,2,1,3
2026-05-13T13:57:56+0000,1778680676.0589287,uniform,obfuscated,1,exp1_pg_shard_1,81.39,44.33,2,1,3
2026-05-13T13:57:56+0000,1778680676.0682101,uniform,obfuscated,2,exp1_pg_shard_2,72.04,44.28,2,1,3
2026-05-13T13:57:58+0000,1778680678.0892127,uniform,obfuscated_control,0,exp1_pg_shard_0,137.62,44.82,2,1,3
2026-05-13T13:57:58+0000,1778680678.0987704,uniform,obfuscated_control,1,exp1_pg_shard_1,94.87,44.03,2,1,3
2026-05-13T13:57:58+0000,1778680678.1079214,uniform,obfuscated_control,2,exp1_pg_shard_2,69.4,44.06,2,1,3
2026-05-13T13:58:00+0000,1778680680.1211462,hot70,deterministic,0,exp1_pg_shard_0,140.87,84.06,18,4,3
2026-05-13T13:58:00+0000,1778680680.1293726,hot70,deterministic,1,exp1_pg_shard_1,20.55,44.05,2,1,3
2026-05-13T13:58:00+0000,1778680680.1369913,hot70,deterministic,2,exp1_pg_shard_2,18.18,44.21,2,1,3
2026-05-13T13:58:03+0000,1778680683.215901,hot70,deterministic,0,exp1_pg_shard_0,4.52,46.64,2,1,3
2026-05-13T13:58:03+0000,1778680683.2281406,hot70,deterministic,1,exp1_pg_shard_1,4.98,46.61,2,1,3
2026-05-13T13:58:03+0000,1778680683.2378638,hot70,deterministic,2,exp1_pg_shard_2,10.12,44.33,2,1,3
2026-05-13T13:58:05+0000,1778680685.2485154,hot70,obfuscated,0,exp1_pg_shard_0,138.47,81.78,2,1,3
2026-05-13T13:58:05+0000,1778680685.2567482,hot70,obfuscated,1,exp1_pg_shard_1,83.99,46.86,2,1,3
