timestamp,ts,relative_s,run_id,system,scenario,phase,component,container,target_container,is_target_leader,cpu_percent,memory_mb
2026-05-11T16:36:41+0000,1778517401.2959104,9.49488115310669,1,TiDB,leader_cpu_stress,perturbation,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,43.73,2207.744
2026-05-11T16:36:44+0000,1778517404.3894813,12.588452100753784,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,37.34,2155.52
2026-05-11T16:36:44+0000,1778517404.3894813,12.588452100753784,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,196.08,2147.328
2026-05-11T16:36:44+0000,1778517404.3894813,12.588452100753784,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,42.62,2207.744
2026-05-11T16:36:47+0000,1778517407.5313175,15.73028826713562,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,7.75,2155.52
2026-05-11T16:36:47+0000,1778517407.5313175,15.73028826713562,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,6.39,2150.4
2026-05-11T16:36:47+0000,1778517407.5313175,15.73028826713562,1,TiDB,leader_cpu_stress,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,18.46,2202.624
2026-05-11T16:36:58+0000,1778517418.8003995,0.09373950958251953,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,40.64,2164.736
2026-05-11T16:36:58+0000,1778517418.8003995,0.09373950958251953,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,158.79,2161.664
2026-05-11T16:36:58+0000,1778517418.8003995,0.09373950958251953,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,47.22,2206.72
2026-05-11T16:37:01+0000,1778517421.9112625,3.2046024799346924,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,7.27,2162.688
2026-05-11T16:37:01+0000,1778517421.9112625,3.2046024799346924,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,0.0,2155.52
2026-05-11T16:37:01+0000,1778517421.9112625,3.2046024799346924,1,TiDB,leader_network_perturbation,normal,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,43.88,2203.648
2026-05-11T16:37:05+0000,1778517425.0139987,6.307338714599609,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,6.45,2161.664
2026-05-11T16:37:05+0000,1778517425.0139987,6.307338714599609,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,0.0,2155.52
2026-05-11T16:37:05+0000,1778517425.0139987,6.307338714599609,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,7.74,2201.6
2026-05-11T16:37:08+0000,1778517428.1181886,9.411528587341309,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,10.0,2161.664
2026-05-11T16:37:08+0000,1778517428.1181886,9.411528587341309,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,23.1,2152.448
2026-05-11T16:37:08+0000,1778517428.1181886,9.411528587341309,1,TiDB,leader_network_perturbation,perturbation,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,11.43,2201.6
2026-05-11T16:37:10+0000,1778517430.2148383,11.508178234100342,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,6.56,2160.64
2026-05-11T16:37:10+0000,1778517430.2148383,11.508178234100342,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,4.29,2149.376
2026-05-11T16:37:10+0000,1778517430.2148383,11.508178234100342,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,8.17,2202.624
2026-05-11T16:37:13+0000,1778517433.3370986,14.630438566207886,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,7.0,2159.616
2026-05-11T16:37:13+0000,1778517433.3370986,14.630438566207886,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,4.74,2147.328
2026-05-11T16:37:13+0000,1778517433.3370986,14.630438566207886,1,TiDB,leader_network_perturbation,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,6.59,2200.576
2026-05-11T16:37:26+0000,1778517446.3469253,0.025770902633666992,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,39.32,2169.856
2026-05-11T16:37:26+0000,1778517446.3469253,0.025770902633666992,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,143.43,2153.472
2026-05-11T16:37:26+0000,1778517446.3469253,0.025770902633666992,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,43.61,2209.792
2026-05-11T16:37:29+0000,1778517449.4492702,3.1281158924102783,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,28.53,2167.808
2026-05-11T16:37:29+0000,1778517449.4492702,3.1281158924102783,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,197.32,2150.4
2026-05-11T16:37:29+0000,1778517449.4492702,3.1281158924102783,1,TiDB,leader_cpu_stress_limited,normal,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,45.09,2209.792
2026-05-11T16:37:32+0000,1778517452.5461786,6.225024223327637,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,27.81,2164.736
2026-05-11T16:37:32+0000,1778517452.5461786,6.225024223327637,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,206.97,2147.328
2026-05-11T16:37:32+0000,1778517452.5461786,6.225024223327637,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,28.13,2205.696
2026-05-11T16:37:35+0000,1778517455.6444511,9.323296785354614,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,26.11,2164.736
2026-05-11T16:37:35+0000,1778517455.6444511,9.323296785354614,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,127.13,2148.352
2026-05-11T16:37:35+0000,1778517455.6444511,9.323296785354614,1,TiDB,leader_cpu_stress_limited,perturbation,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,41.5,2205.696
2026-05-11T16:37:38+0000,1778517458.7974575,12.476303100585938,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,40.45,2165.76
2026-05-11T16:37:38+0000,1778517458.7974575,12.476303100585938,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,137.17,2149.376
2026-05-11T16:37:38+0000,1778517458.7974575,12.476303100585938,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,43.62,2206.72
2026-05-11T16:37:41+0000,1778517461.896352,15.575197696685791,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv1,False,16.47,2164.736
2026-05-11T16:37:41+0000,1778517461.896352,15.575197696685791,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv1,True,54.48,2148.352
2026-05-11T16:37:41+0000,1778517461.896352,15.575197696685791,1,TiDB,leader_cpu_stress_limited,recovery,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv1,False,22.69,2206.72
2026-05-11T16:37:52+0000,1778517472.361447,0.09135937690734863,2,TiDB,baseline,normal,TiKV,exp1_tidb_tikv0,exp1_tidb_tikv2,False,70.14,2172.928
2026-05-11T16:37:52+0000,1778517472.361447,0.09135937690734863,2,TiDB,baseline,normal,TiKV,exp1_tidb_tikv1,exp1_tidb_tikv2,False,49.55,2156.544
2026-05-11T16:37:52+0000,1778517472.361447,0.09135937690734863,2,TiDB,baseline,normal,TiKV,exp1_tidb_tikv2,exp1_tidb_tikv2,True,182.67,2217.984
