run_id,seed,scenario,defense,pair_id,item_id,victim_txn_id,attacker_txn_id,victim_success,attacker_success,victim_latency_ms,attacker_latency_ms,victim_inventory_commit_ts,attacker_inventory_commit_ts,victim_order_commit_ts,attacker_order_commit_ts,front_run_success,order_violation,consistency_violation,rollback_count,committed_count,final_stock_estimated,oversell
1,20360514,cross_shard_frontrun,baseline,0,800000,r1-baseline-p0-victim,r1-baseline-p0-attacker,True,True,88.5629653930664,390.61975479125977,1778557846.1259108,1778557846.4458988,1778557846.127443,1778557846.446134,False,False,False,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,1,800001,r1-baseline-p1-victim,r1-baseline-p1-attacker,True,True,151.75127983093262,589.0941619873047,1778557846.1974545,1778557846.6024559,1778557846.197667,1778557846.602816,False,False,False,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,2,800002,r1-baseline-p2-victim,r1-baseline-p2-attacker,True,True,147.42684364318848,589.0316963195801,1778557846.1938326,1778557846.6026113,1778557846.194111,1778557846.610439,False,False,False,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,3,800003,r1-baseline-p3-victim,r1-baseline-p3-attacker,True,True,283.0193042755127,589.0836715698242,1778557846.3298066,1778557846.6028752,1778557846.330102,1778557846.622603,False,False,False,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,4,800004,r1-baseline-p4-victim,r1-baseline-p4-attacker,True,True,349.2569923400879,588.5088443756104,1778557846.3965642,1778557846.6027842,1778557846.396865,1778557846.616542,False,False,False,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,5,800005,r1-baseline-p5-victim,r1-baseline-p5-attacker,True,True,1032.625436782837,588.4180068969727,1778557846.7523873,1778557846.602996,1778557846.942157,1778557846.629046,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,6,800006,r1-baseline-p6-victim,r1-baseline-p6-attacker,True,True,1030.0655364990234,587.2476100921631,1778557846.752,1778557846.6031523,1778557846.912079,1778557846.634908,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,7,800007,r1-baseline-p7-victim,r1-baseline-p7-attacker,True,True,1029.3514728546143,587.2352123260498,1778557846.7518103,1778557846.6032815,1778557846.900354,1778557846.640934,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,8,800008,r1-baseline-p8-victim,r1-baseline-p8-attacker,True,True,1031.2533378601074,592.5517082214355,1778557846.8504767,1778557846.603412,1778557846.97486,1778557846.647011,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,9,800009,r1-baseline-p9-victim,r1-baseline-p9-attacker,True,True,1027.56929397583,588.1848335266113,1778557846.7509067,1778557846.6099043,1778557846.869339,1778557846.646931,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,10,800010,r1-baseline-p10-victim,r1-baseline-p10-attacker,True,True,1029.8717021942139,591.7143821716309,1778557846.8501542,1778557846.6277268,1778557846.952829,1778557846.647719,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,11,800011,r1-baseline-p11-victim,r1-baseline-p11-attacker,True,True,1029.8550128936768,614.046573638916,1778557846.850317,1778557846.675339,1778557846.964253,1778557846.675625,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,12,800012,r1-baseline-p12-victim,r1-baseline-p12-attacker,True,True,1027.5499820709229,638.9222145080566,1778557846.7518978,1778557846.700701,1778557846.906038,1778557846.701002,True,True,True,0,2,0,False
