场景,重复次数,缓解策略,扰动类型,扰动注入方式,目标Leader节点,正常期成功吞吐量(请求/秒),正常期成功吞吐量(请求/秒)标准差,正常期成功吞吐量(请求/秒)95%置信区间半宽,扰动期成功吞吐量(请求/秒),扰动期成功吞吐量(请求/秒)标准差,扰动期成功吞吐量(请求/秒)95%置信区间半宽,恢复期成功吞吐量(请求/秒),恢复期成功吞吐量(请求/秒)标准差,恢复期成功吞吐量(请求/秒)95%置信区间半宽,扰动期成功吞吐量下降(%),扰动期成功吞吐量下降(%)标准差,扰动期成功吞吐量下降(%)95%置信区间半宽,正常期成功请求平均延迟(ms),正常期成功请求平均延迟(ms)标准差,正常期成功请求平均延迟(ms)95%置信区间半宽,扰动期成功请求平均延迟(ms),扰动期成功请求平均延迟(ms)标准差,扰动期成功请求平均延迟(ms)95%置信区间半宽,恢复期成功请求平均延迟(ms),恢复期成功请求平均延迟(ms)标准差,恢复期成功请求平均延迟(ms)95%置信区间半宽,正常期成功请求P95延迟(ms),正常期成功请求P95延迟(ms)标准差,正常期成功请求P95延迟(ms)95%置信区间半宽,扰动期成功请求P95延迟(ms),扰动期成功请求P95延迟(ms)标准差,扰动期成功请求P95延迟(ms)95%置信区间半宽,恢复期成功请求P95延迟(ms),恢复期成功请求P95延迟(ms)标准差,恢复期成功请求P95延迟(ms)95%置信区间半宽,正常期成功请求P99延迟(ms),正常期成功请求P99延迟(ms)标准差,正常期成功请求P99延迟(ms)95%置信区间半宽,扰动期成功请求P99延迟(ms),扰动期成功请求P99延迟(ms)标准差,扰动期成功请求P99延迟(ms)95%置信区间半宽,恢复期成功请求P99延迟(ms),恢复期成功请求P99延迟(ms)标准差,恢复期成功请求P99延迟(ms)95%置信区间半宽,扰动期失败率(%),扰动期失败率(%)标准差,扰动期失败率(%)95%置信区间半宽,扰动期超时率(%),扰动期超时率(%)标准差,扰动期超时率(%)95%置信区间半宽,Leader转移发生率(%),Leader转移发生率(%)标准差,Leader转移发生率(%)95%置信区间半宽,Leader转移耗时(s),Leader转移耗时(s)标准差,Leader转移耗时(s)95%置信区间半宽,恢复时间(s),恢复时间(s)标准差,恢复时间(s)95%置信区间半宽
正常基线,5,TiDB原生调度,无扰动,-,TiKV节点1,1929.63,38.43,33.69,1929.63,38.43,33.69,1929.63,38.43,33.69,0.0,0.0,0.0,24.46,0.53,0.47,24.46,0.53,0.47,24.46,0.53,0.47,142.12,13.26,11.62,142.12,13.26,11.62,142.12,13.26,11.62,390.8,61.77,54.14,390.8,61.77,54.14,390.8,61.77,54.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Leader CPU压力,5,TiDB原生调度,CPU压力,容器内CPU忙循环,TiKV节点1,1775.24,230.39,201.95,972.23,84.76,74.29,1622.17,59.25,51.93,44.84,4.51,3.95,26.31,4.44,3.89,46.63,4.6,4.04,26.89,1.38,1.21,145.4,25.57,22.42,270.52,77.91,68.29,134.23,21.18,18.56,358.69,105.79,92.73,712.25,127.09,111.4,458.14,56.56,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.58,2.46,2.15
Leader网络扰动,5,TiDB原生调度,网络扰动,容器暂停降级模拟,TiKV节点1,1933.89,88.92,77.94,56.19,9.96,8.73,0.0,0.0,0.0,97.09,0.54,0.47,23.85,0.9,0.79,22.53,2.5,2.19,7.94,0.79,0.69,127.4,34.59,30.32,110.76,48.75,42.73,11.02,1.13,0.99,334.6,100.0,87.65,305.11,145.95,127.93,14.12,1.61,1.41,98.55,0.27,0.24,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.01,0.0,0.0
Leader CPU压力+应用侧限流,5,应用侧限流,CPU压力,容器内CPU忙循环,TiKV节点1,1627.1,63.89,56.0,1079.61,58.67,51.43,1546.53,44.82,39.29,33.57,4.42,3.88,6.97,0.45,0.39,13.22,0.96,0.84,7.47,0.36,0.31,17.68,2.15,1.88,51.65,2.81,2.46,20.37,2.4,2.11,43.54,9.78,8.58,79.87,4.21,3.69,56.24,3.77,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.6,0.89,0.78
