场景,重复次数,系统,策略,请求数,请求数标准差,请求数95%置信区间半宽,成功率(%),成功率(%)标准差,成功率(%)95%置信区间半宽,失败率(%),失败率(%)标准差,失败率(%)95%置信区间半宽,总处理吞吐量(请求/秒),总处理吞吐量(请求/秒)标准差,总处理吞吐量(请求/秒)95%置信区间半宽,业务成功吞吐量(请求/秒),业务成功吞吐量(请求/秒)标准差,业务成功吞吐量(请求/秒)95%置信区间半宽,平均延迟(ms),平均延迟(ms)标准差,平均延迟(ms)95%置信区间半宽,P95延迟(ms),P95延迟(ms)标准差,P95延迟(ms)95%置信区间半宽,P99延迟(ms),P99延迟(ms)标准差,P99延迟(ms)95%置信区间半宽,热点请求占比(%),热点请求占比(%)标准差,热点请求占比(%)95%置信区间半宽
均匀流量,5,TiDB,TiDB 原生调度,900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1716.04,90.88,79.66,1716.04,90.88,79.66,19.26,3.46,3.03,45.91,11.41,10.0,64.18,15.28,13.4,0.0,0.0,0.0
70% 目标分片流量,5,TiDB,TiDB 原生调度,900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1812.77,149.11,130.7,1812.77,149.11,130.7,20.05,2.66,2.33,46.27,8.65,7.59,72.03,23.21,20.34,69.44,1.1,0.96
90% 目标分片流量,5,TiDB,TiDB 原生调度,900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1585.55,95.58,83.78,1585.55,95.58,83.78,21.52,4.72,4.14,55.39,20.97,18.38,107.23,53.08,46.52,90.0,0.87,0.77
